,,,Announced Date,Listing date,Ticker,Issuer Name,Offer size,Offer shares,Offer price,Offer Type,Market Cap at Offer (M),Offer To 1st Open,Offer To 1st Close,Bookrunner,Type,Market cap,ADV,Bookrunner.1
ACAD SS,2017-10-26,2017-10-27,2017-10-26,2017-10-27,ACAD SS,AcadeMedia AB,87.13,11.5114,63.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",711.96,0.0,-0.396825403,"Carnegie, SEB",Stocks,711.96,4.146460594177578,"Carnegie, SEB"
MONC IM,2017-10-25,2017-10-26,2017-10-25,2017-10-26,MONC IM,Moncler SpA,245.805,8.5,24.48,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",7365.7,0.7761456966,-0.7761419415,Goldman Sachs,Stocks,7365.7,21.709061313230748,Goldman Sachs
VACN SW,2017-10-25,2017-10-26,2017-10-25,2017-10-26,VACN SW,VAT Group AG,359.846,2.8,127.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",3823.38,1.102362156,0.944881916,"Credit Suisse, JP Morgan",Stocks,3823.38,13.836756318612686,"Credit Suisse, JP Morgan"
KWS LN,2017-10-24,2017-10-27,2017-10-24,2017-10-27,KWS LN,Keywords Studios PLC,98.4967,5.3571,1400.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,Sub Sector Flag,REG S,Rule 144A",1132.01,19.5,14.64285755,"Joh Berenberg Gossler & Co KG, Numis",Stocks,1132.01,6.072761003675037,"Joh Berenberg Gossler & Co KG, Numis"
LBK SM,2017-10-24,2017-10-25,2017-10-24,2017-10-25,LBK SM,Liberbank SA,142.991,181.417,0.67,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block,REG S,Rule 144A",736.687,2.985072136,5.522385597,"Citi, Deutsche Bank",Stocks,736.687,1.2986079001726973,"Citi, Deutsche Bank"
AT1 GR,2017-10-19,2017-10-25,2017-10-19,2017-10-25,AT1 GR,Aroundtown SA,532.575,75.0,6.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",6699.96,0.8333333135,1.25,"Deutsche Bank, Goldman Sachs, Joh Berenberg Gossler & Co KG",Stocks,6699.96,4.531967413786152,"Deutsche Bank, Goldman Sachs, Joh Berenberg Gossler & Co KG"
HSV LN,2017-10-19,2017-10-23,2017-10-19,2017-10-23,HSV LN,HomeServe PLC,164.525,15.2439,820.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",3539.81,3.414634228,3.658536673,"JP Morgan, UBS",Stocks,3539.81,4.07159665337452,"JP Morgan, UBS"
TALK LN,2017-10-12,2017-10-13,2017-10-12,2017-10-13,TALK LN,TalkTalk Telecom Group PLC,55.7699,20.0,210.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2664.73,-2.660332441,1.90023756,Jefferies,Stocks,2664.73,4.547574332421666,Jefferies
ALS30 FP,2017-10-12,2017-10-13,2017-10-12,2017-10-13,ALS30 FP,Solutions 30 SE,144.624,4.7,26.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",732.525,0.8076922894,0.03846153989,Joh Berenberg Gossler & Co KG,Stocks,732.525,2.001532181403004,Joh Berenberg Gossler & Co KG
ORSTED DC,2017-10-11,2017-10-12,2017-10-11,2017-10-12,ORSTED DC,Orsted A/S,682.4,11.4352,375.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",25063.7,-0.400000006,-0.400000006,"Goldman Sachs, JP Morgan, Morgan Stanley, UBS",Stocks,25063.7,44.47807815774048,"Goldman Sachs, JP Morgan, Morgan Stanley, UBS"
SAF FP,2017-10-10,2017-10-11,2017-10-10,2017-10-11,SAF FP,Safran SA,324.846,3.2287,85.25,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",42114.7,0.4340175986,0.8328445554,Societe Generale,Stocks,42114.7,83.21697786153048,Societe Generale
FGR FP,2017-10-10,2017-10-11,2017-10-10,2017-10-11,FGR FP,Eiffage SA,285.22,2.7955,86.45,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",10036.4,1.09890461,1.2724154,Societe Generale,Stocks,10036.4,28.274823463891394,Societe Generale
ISP IM,2017-10-09,2017-10-09,2017-10-09,2017-10-09,ISP IM,Intesa Sanpaolo SpA,510.773,150.0,2.898,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Bought Deal,REG S,Rule 144A",54005.0,-0.2070394009,-0.3450656235,Goldman Sachs,Stocks,54005.0,267.48466871625817,Goldman Sachs
PETS LN,2017-10-09,2017-10-10,2017-10-09,2017-10-10,PETS LN,Pets at Home Group Plc,156.36,61.0,195.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1287.97,0.6153846383,1.589743614,Bank of America Merrill Lynch,Stocks,1287.97,4.241715157521742,Bank of America Merrill Lynch
SAS SS,2017-10-06,2017-11-13,2017-10-06,2017-11-13,SAS SS,SAS AB,156.298,52.5,24.2,"ADDL,Primary Share Offering,Accelerated Bookbuild",1126.1,-0.4132262766,1.239666224,"HSBC, SpareBank 1 Markets AS, Nordea Bank Abp",Stocks,1126.1,6.034488975710955,"HSBC, SpareBank 1 Markets AS, Nordea Bank Abp"
BDRILL NO,2017-10-06,2017-10-11,2017-10-06,2017-10-11,BDRILL NO,Borr Drilling Ltd,650.0,162.5,32.0736,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1913.17,3.771197081,4.720324039,"ABG Sundal Collier Asa, Clarksons Platou Securities, DNB ASA, Fearnley Securities AS, Pareto Securities, SEB, SpareBank 1 Markets AS",Stocks,1913.17,1.1242974634199154,"ABG Sundal Collier Asa, Clarksons Platou Securities, DNB ASA, Fearnley Securities AS, Pareto Securities, SEB, SpareBank 1 Markets AS"
OSR GR,2017-10-04,2017-10-05,2017-10-04,2017-10-05,OSR GR,OSRAM Licht AG,1389.19,18.155,65.05,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",7973.85,-1.767875433,-1.415838599,"Citi, Deutsche Bank",Stocks,7973.85,20.438277590073366,"Citi, Deutsche Bank"
ELIS FP,2017-10-04,2017-10-05,2017-10-04,2017-10-05,ELIS FP,Elis SA,258.904,10.0,22.01,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",5653.01,2.498862982,1.476600528,BNP Paribas,Stocks,5653.01,9.219836657323569,BNP Paribas
G24 GR,2017-10-04,2017-10-05,2017-10-04,2017-10-05,G24 GR,Scout24 AG,401.118,10.0,34.1,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S",4296.22,0.8211188912,1.466280222,"Barclays, Credit Suisse, Jefferies, JP Morgan",Stocks,4296.22,4.0375838975956055,"Barclays, Credit Suisse, Jefferies, JP Morgan"
888 LN,2017-10-03,2017-10-04,2017-10-03,2017-10-04,888 LN,888 Holdings PLC,148.999,46.2835,243.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1160.01,0.2057613134,-1.152263403,"JP Morgan, Morgan Stanley",Stocks,1160.01,7.168908786092563,"JP Morgan, Morgan Stanley"
OSB LN,2017-10-03,2017-10-04,2017-10-03,2017-10-04,OSB LN,OneSavings Bank PLC,99.36,20.0,375.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1211.76,-0.2666666806,0.9866666794,"Citi, Credit Suisse",Stocks,1211.76,2.671721922400918,"Citi, Credit Suisse"
WPP LN,2017-10-02,2017-10-03,2017-10-02,2017-10-03,WPP LN,WPP PLC,403.167,22.5,1350.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",22673.2,1.481481433,3.92592597,Morgan Stanley,Stocks,22673.2,133.65850948154088,Morgan Stanley
EUCAR FP,2017-10-02,2017-10-03,2017-10-02,2017-10-03,EUCAR FP,Europcar Mobility Group,240.768,16.1061,12.73,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2409.27,-0.981928885,-1.531811118,"Citi, Societe Generale",Stocks,2409.27,3.007479516436489,"Citi, Societe Generale"
REY IM,2017-10-02,2017-10-03,2017-10-02,2017-10-03,REY IM,Reply SpA,160.198,0.718,190.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",2088.57,0.7368420959,1.052631617,Morgan Stanley,Stocks,2088.57,2.7740308505051665,Morgan Stanley
HL/ LN,2017-09-28,2017-09-29,2017-09-28,2017-09-29,HL/ LN,Hargreaves Lansdown PLC,253.325,13.0,1450.0,"ADDL,Secondary Share Offering,REG S",9212.57,2.068965435,1.724137902,Barclays,Stocks,9212.57,16.66406431134999,Barclays
APPS SM,2017-09-27,2017-09-29,2017-09-27,2017-09-29,APPS SM,Applus Services SA,161.2,13.0017,10.55,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S",0.0,-1.80791335e-06,-0.4739354551,"Barclays, Morgan Stanley",Stocks,1696.0322,1.2472566181463995,"Barclays, Morgan Stanley"
OVS IM,2017-09-26,2017-09-27,2017-09-26,2017-09-27,OVS IM,OVS SpA,215.422,28.0,6.53,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1746.46,0.6125541925,-1.531396747,Credit Suisse,Stocks,1746.46,3.651072025936174,Credit Suisse
TKA GR,2017-09-25,2017-09-27,2017-09-25,2017-09-27,TKA GR,thyssenkrupp AG,1628.96,56.5938,24.3,"ADDL,Primary Share Offering,Accelerated Bookbuild",0.0,2.42798686,3.872431278,"BNP Paribas, Commerzbank, JP Morgan",Stocks,16343.2177,73.5094650574806,"BNP Paribas, Commerzbank, JP Morgan"
JUST LN,2017-09-25,2017-09-26,2017-09-25,2017-09-26,JUST LN,Just Group PLC,175.171,93.0,140.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S",1756.93,4.285714149,3.785714388,"Barclays, Numis",Stocks,1756.93,3.2890902263945665,"Barclays, Numis"
CAML LN,2017-09-22,2017-10-12,2017-09-22,2017-10-12,CAML LN,Central Asia Metals PLC,185.954,59.7559,230.0,"ADDL,Primary Share Offering,Secondary Share Offering,PE Backed,Accelerated Bookbuild,Sub Sector Flag,REG S",549.244,5.543478489,11.41304302,"JP Morgan, Peel Hunt LLP",Stocks,549.244,1.0093917580107188,"JP Morgan, Peel Hunt LLP"
CCAP GR,2017-09-20,2017-09-21,2017-09-20,2017-09-21,CCAP GR,Corestate Capital Holding SA,188.703,3.0,52.4,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1311.38,0.1908367723,-2.427483797,Joh Berenberg Gossler & Co KG,Stocks,1311.38,1.0189149999393836,Joh Berenberg Gossler & Co KG
HEIA NA,2017-09-18,2017-09-19,2017-09-18,2017-09-19,HEIA NA,Heineken NV,2267.44,22.485,84.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",58280.2,-0.4497041404,0.0,"JP Morgan, Morgan Stanley, UBS",Stocks,58280.2,41.558784957087084,"JP Morgan, Morgan Stanley, UBS"
HEIO NA,2017-09-18,2017-09-19,2017-09-18,2017-09-19,HEIO NA,Heineken Holding NV,716.756,7.7,78.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",26901.3,1.346153855,2.051282167,"JP Morgan, Morgan Stanley, UBS",Stocks,26901.3,6.554520329591562,"JP Morgan, Morgan Stanley, UBS"
HELN SW,2017-09-14,2017-09-15,2017-09-14,2017-09-15,HELN SW,Helvetia Holding AG,211.25,0.3974,513.4,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",5319.11,0.9933726788,0.5064229369,Deutsche Bank,Stocks,5319.11,10.069176107895055,Deutsche Bank
MT IM,2017-09-14,2017-09-15,2017-09-14,2017-09-15,MT IM,Maire Tecnimont SpA,87.3474,15.0,4.9,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",1788.26,-1.632655025,-1.020410061,BNP Paribas,Stocks,1788.26,7.173258835983104,BNP Paribas
ASRNL NA,2017-09-13,2017-09-14,2017-09-13,2017-09-14,ASRNL NA,ASR Nederland NV,1208.97,30.15,33.75,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit",5895.95,-0.01481481455,-1.377777815,"ABN Amro Bank NV, Citi, Deutsche Bank, HSBC",Stocks,5895.95,12.133814752079887,"ABN Amro Bank NV, Citi, Deutsche Bank, HSBC"
HOME SM,2017-09-13,2017-09-14,2017-09-13,2017-09-14,HOME SM,Neinor Homes SA,468.861,21.3314,18.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,Block",1736.95,1.081081033,1.621621609,"Citi, Credit Suisse, JP Morgan",Stocks,1736.95,4.477496308922044,"Citi, Credit Suisse, JP Morgan"
1COV GR,2017-09-12,2017-09-13,2017-09-12,2017-09-13,1COV GR,Covestro AG,1437.65,19.0,63.25,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",15217.3,7.415019989,9.011857986,"Barclays, Citi",Stocks,15217.3,29.711329029745738,"Barclays, Citi"
ERA FP,2017-09-12,2017-09-13,2017-09-12,2017-09-13,ERA FP,Eramet,202.603,2.9712,57.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",1800.41,-2.45614028,-2.701754332,"UniCredit, Intesa Sanpaolo, BNP Paribas",Stocks,1800.41,4.824544215625353,"UniCredit, Intesa Sanpaolo, BNP Paribas"
TOKMAN FH,2017-09-12,2017-09-13,2017-09-12,2017-09-13,TOKMAN FH,Tokmanni Group Corp,81.3723,8.95,7.6,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",531.56,0.6578959823,-0.921051383,"Carnegie, SEB",Stocks,531.56,1.254317489525,"Carnegie, SEB"
RDW LN,2017-09-11,2017-09-12,2017-09-11,2017-09-12,RDW LN,Redrow PLC,201.388,25.9,590.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",2896.15,-1.694915295,-1.016949177,Barclays,Stocks,2896.15,6.3738620433008295,Barclays
AHSL SS,2017-09-11,2017-09-12,2017-09-11,2017-09-12,AHSL SS,Ahlsell AB,421.488,65.5,51.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",2821.18,-0.6796116233,-1.844660163,"Danske Bank, Goldman Sachs, Nordea Bank Abp",Stocks,2821.18,3.278604683163883,"Danske Bank, Goldman Sachs, Nordea Bank Abp"
LOG SM,2017-09-06,2017-09-07,2017-09-06,2017-09-07,LOG SM,Cia de Distribucion Integral L,300.829,13.275,19.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Block",3023.93,2.710526228,2.34210515,"Credit Suisse, Goldman Sachs",Stocks,3023.93,2.644652561772056,"Credit Suisse, Goldman Sachs"
ENGI FP,2017-09-05,2017-09-06,2017-09-05,2017-09-06,ENGI FP,Engie SA,1640.97,99.9,13.8,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit",40082.9,4.92753458,7.210143566,"BNP Paribas, JP Morgan, Morgan Stanley",Stocks,40082.9,75.332234941695,"BNP Paribas, JP Morgan, Morgan Stanley"
STMN SW,2017-09-05,2017-09-06,2017-09-05,2017-09-06,STMN SW,Straumann Holding AG,271.711,0.4327,600.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",10233.2,1.5,2.5,JP Morgan,Stocks,10233.2,26.236998793374035,JP Morgan
JYSK DC,2017-09-05,2017-09-06,2017-09-05,2017-09-06,JYSK DC,Jyske Bank A/S,267.675,4.752,352.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",5363.21,0.8238636255,0.7386363745,Carnegie,Stocks,5363.21,12.082867490015605,Carnegie
ORSTED DC,2017-08-30,2017-08-31,2017-08-30,2017-08-31,ORSTED DC,Orsted A/S,385.262,7.5,321.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",21554.5,1.588785052,1.059190035,"Goldman Sachs, Danske Bank, Nordea Bank Abp",Stocks,21554.5,16.129983075638034,"Goldman Sachs, Danske Bank, Nordea Bank Abp"
VACN SW,2017-08-30,2017-08-31,2017-08-30,2017-08-31,VACN SW,VAT Group AG,179.232,1.4352,120.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",3746.49,3.083333254,3.166666746,"Credit Suisse, UBS",Stocks,3746.49,11.373610685186005,"Credit Suisse, UBS"
JM SS,2017-08-29,2017-08-30,2017-08-29,2017-08-30,JM SS,JM AB,117.68,3.8,245.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",2182.45,2.448979616,4.081632614,SEB,Stocks,2182.45,8.09460816406881,SEB
LCL LN,2017-08-08,2017-08-09,2017-08-08,2017-08-09,LCL LN,Ladbrokes Coral Group Ltd,144.295,90.0,123.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",3069.91,-1.538461566,-2.753036499,Morgan Stanley,Stocks,3069.91,14.765505814075299,Morgan Stanley
FORN SW,2017-08-07,2017-08-08,2017-08-07,2017-08-08,FORN SW,Forbo Holding AG,93.8463,0.063,1450.0,"ADDL,Primary Share Offering,Secondary Share Offering,Accelerated Bookbuild",2677.2,1.862069011,1.448275805,Credit Suisse,Stocks,2677.2,5.858065324853954,Credit Suisse
SPR GR,2017-08-03,2017-08-04,2017-08-03,2017-08-04,SPR GR,Axel Springer SE,144.25,2.23,54.5,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",6979.3,0.2752293646,-0.770642221,Bank of America Merrill Lynch,Stocks,6979.3,11.794753459847232,Bank of America Merrill Lynch
MTRO LN,2017-07-25,2017-07-28,2017-07-25,2017-07-28,MTRO LN,Metro Bank PLC,362.317,8.02,3465.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",3997.54,7.619047642,4.531024456,"Jefferies, Stifel, RBC Capital Markets",Stocks,3997.54,4.837364295634461,"Jefferies, Stifel, RBC Capital Markets"
DIREN FP,2017-07-11,2017-07-17,2017-07-11,2017-07-17,DIREN FP,Direct Energie,148.722,2.6263,49.5,"ADDL,Primary Share Offering,Accelerated Bookbuild",2518.73,3.333333254,1.434343457,BNP Paribas,Stocks,2518.73,2.172829338409428,BNP Paribas
HLAG GR,2017-07-10,2017-07-11,2017-07-10,2017-07-11,HLAG GR,Hapag-Lloyd AG,286.259,8.515,29.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",5536.12,10.66101742,10.69491482,Joh Berenberg Gossler & Co KG,Stocks,5536.12,2.637519616519729,Joh Berenberg Gossler & Co KG
ULE LN,2017-07-07,2017-07-11,2017-07-07,2017-07-11,ULE LN,Ultra Electronics Holdings PLC,177.094,7.0472,1950.0,"ADDL,Primary Share Offering,REG S,Rule 144A",1952.73,5.025640965,4.512820721,Investec,Stocks,1952.73,7.291227241175697,Investec
DEZ GR,2017-07-06,2017-07-07,2017-07-06,2017-07-07,DEZ GR,Deutz AG,224.521,30.2466,6.5,"ADDL,Secondary Share Offering,Accelerated Bookbuild",896.216,-0.1538461596,0.4769230783,Deutsche Bank,Stocks,896.216,2.6518814922610763,Deutsche Bank
ESP LN,2017-07-04,2017-07-24,2017-07-04,2017-07-24,ESP LN,Empiric Student Property PLC,81.4344,57.7941,109.0,"ADDL,Primary Share Offering,Best Efforts",848.521,0.0,-0.2293577939,Jefferies,Stocks,848.521,1.1398541960281046,Jefferies
SMDS LN,2017-06-29,2017-07-03,2017-06-29,2017-07-03,SMDS LN,DS Smith PLC,370.187,62.6374,455.0,"ADDL,Primary Share Offering,Accelerated Bookbuild",5995.28,5.516483307,6.791208744,"Citi, JP Morgan",Stocks,5995.28,14.877803696720578,"Citi, JP Morgan"
HUR LN,2017-06-29,2017-07-24,2017-06-29,2017-07-24,HUR LN,Hurricane Energy PLC,303.931,731.222,32.0,"ADDL,Primary Share Offering,PE Backed,Accelerated Bookbuild,Sub Sector Flag,REG S,Rule 144A",814.341,-3.90625,-3.125,"Cenkos Securities, Stifel",Stocks,814.341,7.496099748354213,"Cenkos Securities, Stifel"
RENE PL,2017-06-28,2017-06-28,2017-06-28,2017-06-28,RENE PL,REN - Redes Energeticas Nacion,58.2674,18.69,2.74,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1664.78,0.54744488,0.54744488,JB Capital Markets,Stocks,1664.78,3.3273540620527053,JB Capital Markets
SOI FP,2017-06-27,2017-06-28,2017-06-27,2017-06-28,SOI FP,SOITEC,140.413,2.2734,54.6,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",1883.07,4.432237148,-0.2014624178,"BNP Paribas, Morgan Stanley",Stocks,1883.07,11.58937393762991,"BNP Paribas, Morgan Stanley"
GAM SW,2017-06-27,2017-06-27,2017-06-27,2017-06-27,GAM SW,GAM Holding AG,64.6229,4.73,13.15,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",2190.01,-0.3802252412,-1.520909667,Credit Suisse,Stocks,2190.01,7.61937757695646,Credit Suisse
TBCG LN,2017-06-27,2017-06-28,2017-06-27,2017-06-28,TBCG LN,TBC Bank Group PLC,54.7741,2.81,1525.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1040.91,1.770491838,2.5573771,"Barclays, Renaissance Capital Pty Ltd",Stocks,1040.91,3.7992859598992235,"Barclays, Renaissance Capital Pty Ltd"
PTEC LN,2017-06-26,2017-06-27,2017-06-26,2017-06-27,PTEC LN,Playtech Plc,429.096,36.5,924.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",3748.03,3.246753216,4.437229633,"Goodbody, Shore Capital Group Ltd, UBS",Stocks,3748.03,13.576046868765435,"Goodbody, Shore Capital Group Ltd, UBS"
SPR GR,2017-06-26,2017-06-26,2017-06-26,2017-06-26,SPR GR,Axel Springer SE,138.2,2.25,54.9,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild",6627.14,0.6375199556,-0.6921703219,Bank of America Merrill Lynch,Stocks,6627.14,11.697261646818168,Bank of America Merrill Lynch
HER IM,2017-06-22,2017-06-23,2017-06-22,2017-06-23,HER IM,Hera SpA,79.9414,25.6838,2.79,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit,REG S",4636.23,1.003585577,1.362008572,Mediobanca,Stocks,4636.23,8.225419786788736,Mediobanca
ALT FP,2017-06-21,2017-06-22,2017-06-21,2017-06-22,ALT FP,Altran Technologies SA,330.636,19.7743,15.0,"ADDL,Secondary Share Offering,PE Backed,PE Exit,Accelerated Bookbuild,REG S,Rule 144A",2941.84,1.366666675,1.833333373,"Goldman Sachs, Societe Generale",Stocks,2941.84,3.8978374781013154,"Goldman Sachs, Societe Generale"
GYC GR,2017-06-20,2017-06-23,2017-06-20,2017-06-23,GYC GR,Grand City Properties SA,220.275,11.0,18.0,"ADDL,Primary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",3306.42,1.611111164,2.222222328,"Citi, Joh Berenberg Gossler & Co KG, UBS",Stocks,3306.42,5.44913666907057,"Citi, Joh Berenberg Gossler & Co KG, UBS"
G24 GR,2017-06-20,2017-06-21,2017-06-20,2017-06-21,G24 GR,Scout24 AG,368.972,10.3,32.2,"ADDL,Secondary Share Offering,Accelerated Bookbuild",3862.12,2.934780121,4.037264824,"Morgan Stanley, Richardson Partners Financial Ltd, Barclays",Stocks,3862.12,3.838948448541064,"Morgan Stanley, Richardson Partners Financial Ltd, Barclays"
EUCAR FP,2017-06-20,2017-06-23,2017-06-20,2017-06-23,EUCAR FP,Europcar Mobility Group,195.088,14.6133,12.0,"ADDL,Primary Share Offering,PE Backed,Accelerated Bookbuild,REG S,Rule 144A",0.0,6.583333492,4.166666508,"Goldman Sachs, Societe Generale",Stocks,2015.7891,3.55244068323964,"Goldman Sachs, Societe Generale"
BT/A LN,2017-06-19,2017-06-20,2017-06-19,2017-06-20,BT/A LN,BT Group PLC,488.146,133.0,288.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",36557.9,-0.850694418,-1.666666627,"BNP Paribas, JP Morgan",Stocks,36557.9,92.34180857688243,"BNP Paribas, JP Morgan"
IWG LN,2017-06-19,2017-06-19,2017-06-19,2017-06-19,IWG LN,IWG PLC,120.064,27.3,345.1,"ADDL,Secondary Share Offering,Accelerated Bookbuild",4021.34,-0.05795598403,-3.506231785,UBS,Stocks,4021.34,18.27820293706443,UBS
CAST SS,2017-06-19,2017-06-20,2017-06-19,2017-06-20,CAST SS,Castellum AB,190.313,13.2,126.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",3914.46,1.111111164,1.190476179,"ABG Sundal Collier Asa, SEB",Stocks,3914.46,9.624477171794874,"ABG Sundal Collier Asa, SEB"
WIZZ LN,2017-06-14,2017-06-15,2017-06-14,2017-06-15,WIZZ LN,Wizz Air Holdings Plc,317.623,10.7,2320.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",1701.25,-1.724137902,-0.9913793206,"Barclays, Citi, JP Morgan, Goodbody",Stocks,1701.25,9.964723678583905,"Barclays, Citi, JP Morgan, Goodbody"
ENX FP,2017-06-13,2017-06-14,2017-06-13,2017-06-14,ENX FP,Euronext NV,221.8,4.4,45.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild",3550.99,0.8666666746,1.477777719,"BNP Paribas, Societe Generale",Stocks,3550.99,6.946608306535933,"BNP Paribas, Societe Generale"
AMP IM,2017-06-13,2017-06-14,2017-06-13,2017-06-14,AMP IM,Amplifon SpA,120.982,9.0,12.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S",3061.09,1.666666627,0.0,"Morgan Stanley, UniCredit",Stocks,3061.09,6.012493840233959,"Morgan Stanley, UniCredit"
LSS FP,2017-06-13,2017-06-14,2017-06-13,2017-06-14,LSS FP,Lectra,139.986,5.2069,24.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,REG S,Rule 144A",849.558,2.041666746,4.125,Societe Generale,Stocks,849.558,1.45404874941124,Societe Generale
ASRNL NA,2017-06-12,2017-06-13,2017-06-12,2017-06-13,ASRNL NA,ASR Nederland NV,811.855,25.0,29.0,"ADDL,Secondary Share Offering,Accelerated Bookbuild,Government Exit",4872.87,1.517241359,1.5,"ABN Amro Bank NV, Citi, Deutsche Bank, HSBC",Stocks,4872.87,8.858351823176017,"ABN Amro Bank NV, Citi, Deutsche Bank, HSBC"
